fyear,sgvkey,sconm,stic,cgvkey,cconm,ctic,salecs,srcdate
2016,001094,ACETO CORP,ACETQ,031673,CENCORA INC,COR,78.193,2016-06-30
2017,001094,ACETO CORP,ACETQ,031673,CENCORA INC,COR,76.598,2017-06-30
2017,001094,ACETO CORP,ACETQ,007171,MCKESSON CORP,MCK,70.215,2017-06-30
2018,001094,ACETO CORP,ACETQ,031673,CENCORA INC,COR,113.817,2018-06-30
2018,001094,ACETO CORP,ACETQ,007171,MCKESSON CORP,MCK,78.249,2018-06-30
2015,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2015-12-31
2015,001161,ADVANCED MICRO DEVICES,AMD,009818,SONY GROUP CORPORATION,SONY,,2015-12-31
2016,001161,ADVANCED MICRO DEVICES,AMD,005606,HP INC,HPQ,427.2,2016-12-31
2016,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2016-12-31
2016,001161,ADVANCED MICRO DEVICES,AMD,009818,SONY GROUP CORPORATION,SONY,,2016-12-31
2017,001161,ADVANCED MICRO DEVICES,AMD,005606,HP INC,HPQ,319.74,2017-12-31
2017,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2017-12-31
2017,001161,ADVANCED MICRO DEVICES,AMD,009818,SONY GROUP CORPORATION,SONY,,2017-12-31
2018,001161,ADVANCED MICRO DEVICES,AMD,005606,HP INC,HPQ,453.25,2018-12-31
2018,001161,ADVANCED MICRO DEVICES,AMD,012141,MICROSOFT CORP,MSFT,,2018-12-31
2015,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,49.865,2015-03-31
2015,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,3.082,2015-03-31
2016,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,68.227,2016-03-31
2016,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,3.725,2016-03-31
2017,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,69.558,2017-03-31
2017,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,4.263,2017-03-31
2018,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,72.845,2018-03-31
2018,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,8.213,2018-03-31
2019,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,72.978,2019-03-31
2019,001210,AIR T INC,AIRT,003851,DELTA AIR LINES INC,DAL,7.896,2019-03-31
2020,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,71.036,2020-03-31
2021,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,64.795,2021-03-31
2022,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,72.602,2022-03-31
2023,001210,AIR T INC,AIRT,004598,FEDEX CORP,FDX,89.036,2023-03-31
2015,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,21.925,2015-09-30
2016,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,46.898,2016-09-30
2017,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,111.197,2017-09-30
2018,001266,ALICO INC,ALCO,010747,TROPICANA PRODUCTS INC,TOJ,70.396,2018-09-30
