gvkey,conm,fyear,tic,sic,at,logAT,revt,logRevt,cogs
001094,ACETO CORP,2016,ACETQ,5160,540.778,6.293008843,558.524,6.32529759,403.041
001094,ACETO CORP,2017,ACETQ,5160,1038.185,6.945229275,638.318,6.458836592,469.27
001094,ACETO CORP,2018,ACETQ,5160,767.024,6.642518092,711.359,6.567177225,566.984
001161,ADVANCED MICRO DEVICES,2015,AMD,3674,3109,8.04205641,3991,8.291797105,2784
001161,ADVANCED MICRO DEVICES,2016,AMD,3674,3321,8.108021221,4272,8.359837381,2863
001161,ADVANCED MICRO DEVICES,2017,AMD,3674,3540,8.171882006,5329,8.580918882,3429
001161,ADVANCED MICRO DEVICES,2018,AMD,3674,4556,8.424200325,6475,8.775703887,3889
001210,AIR T INC,2015,AIRT,4513,52.155,3.954220054,148.212,4.998643681,122.012
001210,AIR T INC,2016,AIRT,4513,65.335,4.17952788,148.472,5.000396388,125.142
001210,AIR T INC,2017,AIRT,4513,97.147,4.576225295,194.519,5.270529845,158.23
001210,AIR T INC,2018,AIRT,4513,115.142,4.746166149,249.834,5.520796697,195.685
001210,AIR T INC,2019,AIRT,4513,151.427,5.020103661,236.785,5.467152556,184.215
001210,AIR T INC,2020,AIRT,4513,140.75,4.946985267,175.121,5.165477164,146.748
001210,AIR T INC,2021,AIRT,4513,207.599,5.335608334,177.077,5.176584666,136.603
001210,AIR T INC,2022,AIRT,4513,189.562,5.244716148,247.323,5.510695175,201.66
001210,AIR T INC,2023,AIRT,4513,177.167,5.177092791,286.834,5.658903651,228.746
001210,AIR T INC,2024,AIRT,4513,173.778,5.157778623,291.85,5.676239972,225.113
001266,ALICO INC,2015,ALCO,0100,460.58,6.132486565,153.119,5.031215397,94.478
001266,ALICO INC,2016,ALCO,0100,458.662,6.128313555,144.196,4.971173485,93.755
001266,ALICO INC,2017,ALCO,0100,419.182,6.038305193,129.829,4.8662182,105.673
001266,ALICO INC,2018,ALCO,0100,423.422,6.048369318,81.281,4.397912287,51.361
